allocation_id,project_id,resource_id,reporting_date,allocated_hours
P03-R05,P03,R05,2026-09-14,26
P03-R06,P03,R06,2026-09-14,26
P03-R05,P03,R05,2026-09-21,26
P03-R06,P03,R06,2026-09-21,26
P04-R07,P04,R07,2026-07-06,26
P04-R08,P04,R08,2026-07-06,26
P04-R07,P04,R07,2026-07-13,26
P04-R08,P04,R08,2026-07-13,26
P04-R07,P04,R07,2026-07-20,26
P04-R08,P04,R08,2026-07-20,26
P04-R07,P04,R07,2026-07-27,26
P04-R08,P04,R08,2026-07-27,26
P04-R07,P04,R07,2026-08-03,26
P04-R08,P04,R08,2026-08-03,26
P04-R07,P04,R07,2026-08-10,26
P04-R08,P04,R08,2026-08-10,26
P04-R07,P04,R07,2026-08-17,26
P04-R08,P04,R08,2026-08-17,26
P04-R07,P04,R07,2026-08-24,26
P04-R08,P04,R08,2026-08-24,26
P04-R07,P04,R07,2026-08-31,26
P04-R08,P04,R08,2026-08-31,26
P04-R07,P04,R07,2026-09-07,26
P04-R08,P04,R08,2026-09-07,26
P04-R07,P04,R07,2026-09-14,26
P04-R08,P04,R08,2026-09-14,26
P04-R07,P04,R07,2026-09-21,26
P04-R08,P04,R08,2026-09-21,26
P05-R09,P05,R09,2026-07-06,10
P05-R10,P05,R10,2026-07-06,10
P05-R09,P05,R09,2026-07-13,10
P05-R10,P05,R10,2026-07-13,10
P05-R09,P05,R09,2026-07-20,10
P05-R10,P05,R10,2026-07-20,10
P05-R09,P05,R09,2026-07-27,10
P05-R10,P05,R10,2026-07-27,10
P05-R09,P05,R09,2026-08-03,10
P05-R10,P05,R10,2026-08-03,10
P05-R09,P05,R09,2026-08-10,10
P05-R10,P05,R10,2026-08-10,10
P05-R09,P05,R09,2026-08-17,10
P05-R10,P05,R10,2026-08-17,10
P05-R09,P05,R09,2026-08-24,10
P05-R10,P05,R10,2026-08-24,10
P05-R09,P05,R09,2026-08-31,10
P05-R10,P05,R10,2026-08-31,10
P05-R09,P05,R09,2026-09-07,10
P05-R10,P05,R10,2026-09-07,10
P05-R09,P05,R09,2026-09-14,10
P05-R10,P05,R10,2026-09-14,10
P05-R09,P05,R09,2026-09-21,10
P05-R10,P05,R10,2026-09-21,10
P06-R11,P06,R11,2026-07-06,10
P06-R12,P06,R12,2026-07-06,10
P06-R11,P06,R11,2026-07-13,10
P06-R12,P06,R12,2026-07-13,10
P06-R11,P06,R11,2026-07-20,10
P06-R12,P06,R12,2026-07-20,10
P06-R11,P06,R11,2026-07-27,10
P06-R12,P06,R12,2026-07-27,10
P06-R11,P06,R11,2026-08-03,10
P06-R12,P06,R12,2026-08-03,10
P06-R11,P06,R11,2026-08-10,10
P06-R12,P06,R12,2026-08-10,10
P06-R11,P06,R11,2026-08-17,10
P06-R12,P06,R12,2026-08-17,10
P06-R11,P06,R11,2026-08-24,10
P06-R12,P06,R12,2026-08-24,10
P06-R11,P06,R11,2026-08-31,10
P06-R12,P06,R12,2026-08-31,10
P06-R11,P06,R11,2026-09-07,10
P06-R12,P06,R12,2026-09-07,10
P06-R11,P06,R11,2026-09-14,10
P06-R12,P06,R12,2026-09-14,10
P06-R11,P06,R11,2026-09-21,10
P06-R12,P06,R12,2026-09-21,10
P07-R01,P07,R01,2026-07-06,10
P07-R02,P07,R02,2026-07-06,10
P07-R01,P07,R01,2026-07-13,10
P07-R02,P07,R02,2026-07-13,10
P07-R01,P07,R01,2026-07-20,10
P07-R02,P07,R02,2026-07-20,10
P07-R01,P07,R01,2026-07-27,10
P07-R02,P07,R02,2026-07-27,10
P07-R01,P07,R01,2026-08-03,10
P07-R02,P07,R02,2026-08-03,10
P07-R01,P07,R01,2026-08-10,10
P07-R02,P07,R02,2026-08-10,10
P07-R01,P07,R01,2026-08-17,10
P07-R02,P07,R02,2026-08-17,10
P07-R01,P07,R01,2026-08-24,10
P07-R02,P07,R02,2026-08-24,10
P07-R01,P07,R01,2026-08-31,10
P07-R02,P07,R02,2026-08-31,10
P07-R01,P07,R01,2026-09-07,10
P07-R02,P07,R02,2026-09-07,10
P07-R01,P07,R01,2026-09-14,10
P07-R02,P07,R02,2026-09-14,10
P07-R01,P07,R01,2026-09-21,10
P07-R02,P07,R02,2026-09-21,10
P08-R03,P08,R03,2026-07-06,26
P08-R04,P08,R04,2026-07-06,26
P08-R03,P08,R03,2026-07-13,26
P08-R04,P08,R04,2026-07-13,26
P08-R03,P08,R03,2026-07-20,26
P08-R04,P08,R04,2026-07-20,26
P08-R03,P08,R03,2026-07-27,26
P08-R04,P08,R04,2026-07-27,26
P08-R03,P08,R03,2026-08-03,26
P08-R04,P08,R04,2026-08-03,26
P08-R03,P08,R03,2026-08-10,26
P08-R04,P08,R04,2026-08-10,26
P08-R03,P08,R03,2026-08-17,26
P08-R04,P08,R04,2026-08-17,26
P08-R03,P08,R03,2026-08-24,26
P08-R04,P08,R04,2026-08-24,26
P08-R03,P08,R03,2026-08-31,26
P08-R04,P08,R04,2026-08-31,26
P08-R03,P08,R03,2026-09-07,26
P08-R04,P08,R04,2026-09-07,26
P08-R03,P08,R03,2026-09-14,26
P08-R04,P08,R04,2026-09-14,26
P08-R03,P08,R03,2026-09-21,26
P08-R04,P08,R04,2026-09-21,26
P09-R05,P09,R05,2026-07-06,10
P09-R06,P09,R06,2026-07-06,10
P09-R05,P09,R05,2026-07-13,10
P09-R06,P09,R06,2026-07-13,10
P09-R05,P09,R05,2026-07-20,10
P09-R06,P09,R06,2026-07-20,10
P09-R05,P09,R05,2026-07-27,10
P09-R06,P09,R06,2026-07-27,10
P09-R05,P09,R05,2026-08-03,10
P09-R06,P09,R06,2026-08-03,10
P09-R05,P09,R05,2026-08-10,10
P09-R06,P09,R06,2026-08-10,10
P09-R05,P09,R05,2026-08-17,10
P09-R06,P09,R06,2026-08-17,10
P09-R05,P09,R05,2026-08-24,10
P09-R06,P09,R06,2026-08-24,10
P09-R05,P09,R05,2026-08-31,10
P09-R06,P09,R06,2026-08-31,10
P09-R05,P09,R05,2026-09-07,10
P09-R06,P09,R06,2026-09-07,10
P09-R05,P09,R05,2026-09-14,10
P09-R06,P09,R06,2026-09-14,10
P09-R05,P09,R05,2026-09-21,10
P09-R06,P09,R06,2026-09-21,10
P10-R07,P10,R07,2026-07-06,10
P10-R08,P10,R08,2026-07-06,10
P10-R07,P10,R07,2026-07-13,10
P10-R08,P10,R08,2026-07-13,10
P10-R07,P10,R07,2026-07-20,10
P10-R08,P10,R08,2026-07-20,10
P10-R07,P10,R07,2026-07-27,10
P10-R08,P10,R08,2026-07-27,10
P10-R07,P10,R07,2026-08-03,10
P10-R08,P10,R08,2026-08-03,10
P10-R07,P10,R07,2026-08-10,10
P10-R08,P10,R08,2026-08-10,10
P10-R07,P10,R07,2026-08-17,10
P10-R08,P10,R08,2026-08-17,10
P10-R07,P10,R07,2026-08-24,10
P10-R08,P10,R08,2026-08-24,10
P10-R07,P10,R07,2026-08-31,10
P10-R08,P10,R08,2026-08-31,10
P10-R07,P10,R07,2026-09-07,10
P10-R08,P10,R08,2026-09-07,10
P10-R07,P10,R07,2026-09-14,10
P10-R08,P10,R08,2026-09-14,10
P10-R07,P10,R07,2026-09-21,10
P10-R08,P10,R08,2026-09-21,10
P11-R09,P11,R09,2026-07-06,10
P11-R10,P11,R10,2026-07-06,10
P11-R09,P11,R09,2026-07-13,10
P11-R10,P11,R10,2026-07-13,10
P11-R09,P11,R09,2026-07-20,10
P11-R10,P11,R10,2026-07-20,10
P11-R09,P11,R09,2026-07-27,10
P11-R10,P11,R10,2026-07-27,10
P11-R09,P11,R09,2026-08-03,10
P11-R10,P11,R10,2026-08-03,10
P11-R09,P11,R09,2026-08-10,10
P11-R10,P11,R10,2026-08-10,10
P11-R09,P11,R09,2026-08-17,10
P11-R10,P11,R10,2026-08-17,10
P11-R09,P11,R09,2026-08-24,10
P11-R10,P11,R10,2026-08-24,10
P11-R09,P11,R09,2026-08-31,10
P11-R10,P11,R10,2026-08-31,10
P11-R09,P11,R09,2026-09-07,10
P11-R10,P11,R10,2026-09-07,10
P11-R09,P11,R09,2026-09-14,10
P11-R10,P11,R10,2026-09-14,10
P11-R09,P11,R09,2026-09-21,10
P11-R10,P11,R10,2026-09-21,10
P12-R11,P12,R11,2026-07-06,10
P12-R12,P12,R12,2026-07-06,10
P12-R11,P12,R11,2026-07-13,10
P12-R12,P12,R12,2026-07-13,10
P12-R11,P12,R11,2026-07-20,10
P12-R12,P12,R12,2026-07-20,10
P12-R11,P12,R11,2026-07-27,10
P12-R12,P12,R12,2026-07-27,10
P12-R11,P12,R11,2026-08-03,10
P12-R12,P12,R12,2026-08-03,10
P12-R11,P12,R11,2026-08-10,10
P12-R12,P12,R12,2026-08-10,10
P12-R11,P12,R11,2026-08-17,10
P12-R12,P12,R12,2026-08-17,10
P12-R11,P12,R11,2026-08-24,10
P12-R12,P12,R12,2026-08-24,10
P12-R11,P12,R11,2026-08-31,10
P12-R12,P12,R12,2026-08-31,10
P12-R11,P12,R11,2026-09-07,10
P12-R12,P12,R12,2026-09-07,10
P12-R11,P12,R11,2026-09-14,10
P12-R12,P12,R12,2026-09-14,10
P12-R11,P12,R11,2026-09-21,10
P12-R12,P12,R12,2026-09-21,10
P13-R01,P13,R01,2026-07-06,10
P13-R02,P13,R02,2026-07-06,10
P13-R01,P13,R01,2026-07-13,10
P13-R02,P13,R02,2026-07-13,10
P13-R01,P13,R01,2026-07-20,10
P13-R02,P13,R02,2026-07-20,10
P13-R01,P13,R01,2026-07-27,10
P13-R02,P13,R02,2026-07-27,10
P13-R01,P13,R01,2026-08-03,10
P13-R02,P13,R02,2026-08-03,10
P13-R01,P13,R01,2026-08-10,10
P13-R02,P13,R02,2026-08-10,10
P13-R01,P13,R01,2026-08-17,10
P13-R02,P13,R02,2026-08-17,10
P13-R01,P13,R01,2026-08-24,10
P13-R02,P13,R02,2026-08-24,10
P13-R01,P13,R01,2026-08-31,10
P13-R02,P13,R02,2026-08-31,10
P13-R01,P13,R01,2026-09-07,10
P13-R02,P13,R02,2026-09-07,10
P13-R01,P13,R01,2026-09-14,10
P13-R02,P13,R02,2026-09-14,10
P13-R01,P13,R01,2026-09-21,10
P13-R02,P13,R02,2026-09-21,10
P14-R03,P14,R03,2026-07-06,10
P14-R04,P14,R04,2026-07-06,10
P14-R03,P14,R03,2026-07-13,10
P14-R04,P14,R04,2026-07-13,10
P14-R03,P14,R03,2026-07-20,10
P14-R04,P14,R04,2026-07-20,10
P14-R03,P14,R03,2026-07-27,10
P14-R04,P14,R04,2026-07-27,10
P14-R03,P14,R03,2026-08-03,10
P14-R04,P14,R04,2026-08-03,10
P14-R03,P14,R03,2026-08-10,10
P14-R04,P14,R04,2026-08-10,10
P14-R03,P14,R03,2026-08-17,10
P14-R04,P14,R04,2026-08-17,10
P14-R03,P14,R03,2026-08-24,10
P14-R04,P14,R04,2026-08-24,10
P14-R03,P14,R03,2026-08-31,10
P14-R04,P14,R04,2026-08-31,10
P14-R03,P14,R03,2026-09-07,10
P14-R04,P14,R04,2026-09-07,10
P14-R03,P14,R03,2026-09-14,10
P14-R04,P14,R04,2026-09-14,10
P14-R03,P14,R03,2026-09-21,10
P14-R04,P14,R04,2026-09-21,10
P15-R05,P15,R05,2026-07-06,10
P15-R06,P15,R06,2026-07-06,10
P15-R05,P15,R05,2026-07-13,10
P15-R06,P15,R06,2026-07-13,10
P15-R05,P15,R05,2026-07-20,10
P15-R06,P15,R06,2026-07-20,10
P15-R05,P15,R05,2026-07-27,10
P15-R06,P15,R06,2026-07-27,10
P15-R05,P15,R05,2026-08-03,10
P15-R06,P15,R06,2026-08-03,10
P15-R05,P15,R05,2026-08-10,10
P15-R06,P15,R06,2026-08-10,10
P15-R05,P15,R05,2026-08-17,10
P15-R06,P15,R06,2026-08-17,10
P15-R05,P15,R05,2026-08-24,10
P15-R06,P15,R06,2026-08-24,10
P15-R05,P15,R05,2026-08-31,10
P15-R06,P15,R06,2026-08-31,10
P15-R05,P15,R05,2026-09-07,10
P15-R06,P15,R06,2026-09-07,10
P15-R05,P15,R05,2026-09-14,10
P15-R06,P15,R06,2026-09-14,10
P15-R05,P15,R05,2026-09-21,10
P15-R06,P15,R06,2026-09-21,10
P16-R07,P16,R07,2026-07-06,10
P16-R08,P16,R08,2026-07-06,10
P16-R07,P16,R07,2026-07-13,10
P16-R08,P16,R08,2026-07-13,10
P16-R07,P16,R07,2026-07-20,10
P16-R08,P16,R08,2026-07-20,10
P16-R07,P16,R07,2026-07-27,10
P16-R08,P16,R08,2026-07-27,10
P16-R07,P16,R07,2026-08-03,10
P16-R08,P16,R08,2026-08-03,10
P16-R07,P16,R07,2026-08-10,10
P16-R08,P16,R08,2026-08-10,10
P16-R07,P16,R07,2026-08-17,10
P16-R08,P16,R08,2026-08-17,10
P16-R07,P16,R07,2026-08-24,10
P16-R08,P16,R08,2026-08-24,10
P16-R07,P16,R07,2026-08-31,0
P16-R08,P16,R08,2026-08-31,0
P16-R07,P16,R07,2026-09-07,0
P16-R08,P16,R08,2026-09-07,0
P16-R07,P16,R07,2026-09-14,0
P16-R08,P16,R08,2026-09-14,0
P16-R07,P16,R07,2026-09-21,0
P16-R08,P16,R08,2026-09-21,0
P17-R09,P17,R09,2026-07-06,10
P17-R10,P17,R10,2026-07-06,10
P17-R09,P17,R09,2026-07-13,10
P17-R10,P17,R10,2026-07-13,10
P17-R09,P17,R09,2026-07-20,10
P17-R10,P17,R10,2026-07-20,10
P17-R09,P17,R09,2026-07-27,10
P17-R10,P17,R10,2026-07-27,10
P17-R09,P17,R09,2026-08-03,10
P17-R10,P17,R10,2026-08-03,10
P17-R09,P17,R09,2026-08-10,10
P17-R10,P17,R10,2026-08-10,10
P17-R09,P17,R09,2026-08-17,10
P17-R10,P17,R10,2026-08-17,10
P17-R09,P17,R09,2026-08-24,10
P17-R10,P17,R10,2026-08-24,10
P17-R09,P17,R09,2026-08-31,10
P17-R10,P17,R10,2026-08-31,10
P17-R09,P17,R09,2026-09-07,10
P17-R10,P17,R10,2026-09-07,10
P17-R09,P17,R09,2026-09-14,0
P17-R10,P17,R10,2026-09-14,0
P17-R09,P17,R09,2026-09-21,0
P17-R10,P17,R10,2026-09-21,0
P18-R11,P18,R11,2026-07-06,10
P18-R12,P18,R12,2026-07-06,10
P18-R11,P18,R11,2026-07-13,10
P18-R12,P18,R12,2026-07-13,10
P18-R11,P18,R11,2026-07-20,10
P18-R12,P18,R12,2026-07-20,10
P18-R11,P18,R11,2026-07-27,10
P18-R12,P18,R12,2026-07-27,10
P18-R11,P18,R11,2026-08-03,10
P18-R12,P18,R12,2026-08-03,10
P18-R11,P18,R11,2026-08-10,0
P18-R12,P18,R12,2026-08-10,0
P18-R11,P18,R11,2026-08-17,0
P18-R12,P18,R12,2026-08-17,0
P18-R11,P18,R11,2026-08-24,0
P18-R12,P18,R12,2026-08-24,0
P18-R11,P18,R11,2026-08-31,0
P18-R12,P18,R12,2026-08-31,0
P18-R11,P18,R11,2026-09-07,0
P18-R12,P18,R12,2026-09-07,0
P18-R11,P18,R11,2026-09-14,0
P18-R12,P18,R12,2026-09-14,0
P18-R11,P18,R11,2026-09-21,0
P18-R12,P18,R12,2026-09-21,0
