risk_id,project_id,reporting_date,title,owner_id,probability,impact,status,opened_date,due_date,mitigation,mitigation_status
P02-RK1,P02,2026-07-20,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-07-20,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-07-20,Handover knowledge gap,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-07-27,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-07-27,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-07-27,Handover knowledge gap,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-08-03,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-08-03,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-08-03,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-08-10,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-08-10,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-08-10,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-08-17,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-08-17,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-08-17,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-08-24,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-08-24,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-08-24,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-08-31,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-08-31,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-08-31,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-09-07,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-09-07,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-09-07,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-09-14,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-09-14,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-09-14,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK1,P02,2026-09-21,Supplier / control readiness,PM02,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P02-RK2,P02,2026-09-21,Review capacity uncertainty,PM02,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P02-RK3,P02,2026-09-21,Handover knowledge gap,PM02,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-07-06,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-07-06,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-07-06,Handover knowledge gap,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-07-13,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-07-13,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-07-13,Handover knowledge gap,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-07-20,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-07-20,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-07-20,Handover knowledge gap,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-07-27,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-07-27,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-07-27,Handover knowledge gap,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-08-03,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-08-03,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-08-03,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-08-10,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-08-10,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-08-10,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-08-17,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-08-17,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-08-17,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-08-24,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-08-24,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-08-24,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-08-31,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-08-31,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-08-31,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-09-07,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-09-07,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-09-07,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-09-14,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-09-14,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-09-14,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK1,P03,2026-09-21,Supplier / control readiness,PM03,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P03-RK2,P03,2026-09-21,Review capacity uncertainty,PM03,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P03-RK3,P03,2026-09-21,Handover knowledge gap,PM03,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-07-06,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-07-06,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-07-06,Handover knowledge gap,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-07-13,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-07-13,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-07-13,Handover knowledge gap,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-07-20,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-07-20,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-07-20,Handover knowledge gap,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-07-27,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-07-27,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-07-27,Handover knowledge gap,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-08-03,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-08-03,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-08-03,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-08-10,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-08-10,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-08-10,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-08-17,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-08-17,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-08-17,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-08-24,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-08-24,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-08-24,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-08-31,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-08-31,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-08-31,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-09-07,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-09-07,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-09-07,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-09-14,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-09-14,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-09-14,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK1,P04,2026-09-21,Supplier / control readiness,PM04,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P04-RK2,P04,2026-09-21,Review capacity uncertainty,PM04,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P04-RK3,P04,2026-09-21,Handover knowledge gap,PM04,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-07-06,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-07-06,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-07-06,Handover knowledge gap,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-07-13,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-07-13,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-07-13,Handover knowledge gap,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-07-20,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-07-20,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-07-20,Handover knowledge gap,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-07-27,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-07-27,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-07-27,Handover knowledge gap,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-08-03,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-08-03,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-08-03,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-08-10,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-08-10,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-08-10,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-08-17,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-08-17,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-08-17,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-08-24,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-08-24,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-08-24,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-08-31,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-08-31,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-08-31,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-09-07,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-09-07,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-09-07,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-09-14,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-09-14,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-09-14,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK1,P05,2026-09-21,Supplier / control readiness,PM05,2,2,Open,2026-06-15,2026-10-01,Confirm supplier evidence and mitigation owner,In progress
P05-RK2,P05,2026-09-21,Review capacity uncertainty,PM05,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P05-RK3,P05,2026-09-21,Handover knowledge gap,PM05,2,2,Closed,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK1,P06,2026-07-06,Supplier / control readiness,PM06,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P06-RK2,P06,2026-07-06,Review capacity uncertainty,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK3,P06,2026-07-06,Handover knowledge gap,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK1,P06,2026-07-13,Supplier / control readiness,PM06,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P06-RK2,P06,2026-07-13,Review capacity uncertainty,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK3,P06,2026-07-13,Handover knowledge gap,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK1,P06,2026-07-20,Supplier / control readiness,PM06,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P06-RK2,P06,2026-07-20,Review capacity uncertainty,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK3,P06,2026-07-20,Handover knowledge gap,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
P06-RK1,P06,2026-07-27,Supplier / control readiness,PM06,4,5,Open,2026-06-15,2026-09-14,Confirm supplier evidence and mitigation owner,Not started
P06-RK2,P06,2026-07-27,Review capacity uncertainty,PM06,2,2,Open,2026-06-15,2026-10-01,Agree review cover and acceptance evidence,In progress
