milestone_id,project_id,reporting_date,milestone_name,baseline_date,forecast_date,actual_date,criticality
P04-M3,P04,2026-08-03,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-08-03,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-08-10,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-08-10,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-08-10,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-08-17,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-08-17,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-08-17,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-08-24,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-08-24,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-08-24,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-08-31,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-08-31,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-08-31,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-09-07,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-09-07,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-09-07,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-09-14,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-09-14,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-09-14,Release handover,2026-10-05,2026-10-12,,Critical
P04-M1,P04,2026-09-21,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal
P04-M2,P04,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P04-M3,P04,2026-09-21,Readiness gate,2026-09-14,2026-09-21,,Critical
P04-M4,P04,2026-09-21,Release handover,2026-10-05,2026-10-12,,Critical
P05-M1,P05,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P05-M3,P05,2026-07-06,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P05-M3,P05,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P05-M3,P05,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P05-M3,P05,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P05-M3,P05,2026-08-03,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-08-10,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-08-10,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-08-17,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-08-17,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-08-24,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-08-24,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-08-31,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-08-31,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-09-07,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-09-07,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-09-14,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-09-14,Release handover,2026-10-05,2026-10-05,,Critical
P05-M1,P05,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P05-M2,P05,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P05-M3,P05,2026-09-21,Readiness gate,2026-09-28,2026-09-28,,Normal
P05-M4,P05,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P06-M3,P06,2026-07-06,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P06-M3,P06,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P06-M3,P06,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P06-M3,P06,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P06-M3,P06,2026-08-03,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-08-03,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-08-10,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-08-10,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-08-17,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-08-17,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-08-24,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-08-24,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-08-31,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-08-31,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-08-31,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-08-31,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-09-07,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-09-07,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-09-07,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-09-07,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-09-14,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-09-14,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-09-14,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-09-14,Release handover,2026-10-05,2026-10-05,,Critical
P06-M1,P06,2026-09-21,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P06-M2,P06,2026-09-21,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P06-M3,P06,2026-09-21,Readiness gate,2026-09-28,2026-09-28,,Critical
P06-M4,P06,2026-09-21,Release handover,2026-10-05,2026-10-05,,Critical
P07-M1,P07,2026-07-06,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-07-06,Build acceptance,2026-08-10,2026-08-10,,Normal
P07-M3,P07,2026-07-06,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-07-06,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal
P07-M3,P07,2026-07-13,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-07-13,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal
P07-M3,P07,2026-07-20,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-07-20,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal
P07-M3,P07,2026-07-27,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-07-27,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-08-03,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-08-03,Build acceptance,2026-08-10,2026-08-10,,Normal
P07-M3,P07,2026-08-03,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-08-03,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-08-10,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-08-10,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-08-10,Readiness gate,2026-09-14,2026-10-05,,Critical
P07-M4,P07,2026-08-10,Release handover,2026-10-05,2026-10-26,,Critical
P07-M1,P07,2026-08-17,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-08-17,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-08-17,Readiness gate,2026-09-14,2026-09-21,,Critical
P07-M4,P07,2026-08-17,Release handover,2026-10-05,2026-10-12,,Critical
P07-M1,P07,2026-08-24,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal
P07-M2,P07,2026-08-24,Build acceptance,2026-08-10,2026-08-10,2026-08-10,Normal
P07-M3,P07,2026-08-24,Readiness gate,2026-09-14,2026-09-21,,Critical
P07-M4,P07,2026-08-24,Release handover,2026-10-05,2026-10-12,,Critical
