project_id,reporting_date,approved_budget,planned_cost,forecast_cost,currency
P06,2026-07-06,400000,120000,400000,EUR
P06,2026-07-13,400000,140000,400000,EUR
P06,2026-07-20,400000,160000,400000,EUR
P06,2026-07-27,400000,180000,400000,EUR
P06,2026-08-03,400000,200000,400000,EUR
P06,2026-08-10,400000,220000,400000,EUR
P06,2026-08-17,400000,240000,400000,EUR
P06,2026-08-24,400000,260000,400000,EUR
P06,2026-08-31,400000,280000,400000,EUR
P06,2026-09-07,400000,300000,400000,EUR
P06,2026-09-14,400000,320000,400000,EUR
P06,2026-09-21,400000,340000,400000,EUR
P07,2026-07-06,425000,127500,510000,EUR
P07,2026-07-13,425000,148750,510000,EUR
P07,2026-07-20,425000,170000,510000,EUR
P07,2026-07-27,425000,191250,510000,EUR
P07,2026-08-03,425000,212500,510000,EUR
P07,2026-08-10,425000,233750,510000,EUR
P07,2026-08-17,425000,255000,467500,EUR
P07,2026-08-24,425000,276250,467500,EUR
P07,2026-08-31,450000,315000,495000,EUR
P07,2026-09-07,450000,337500,495000,EUR
P07,2026-09-14,450000,360000,495000,EUR
P07,2026-09-21,450000,382500,459000,EUR
P08,2026-07-06,450000,135000,450000,EUR
P08,2026-07-13,450000,157500,450000,EUR
P08,2026-07-20,450000,180000,450000,EUR
P08,2026-07-27,450000,202500,450000,EUR
P08,2026-08-03,450000,225000,450000,EUR
P08,2026-08-10,450000,247500,463500,EUR
P08,2026-08-17,450000,270000,477000,EUR
P08,2026-08-24,450000,292500,490500,EUR
P08,2026-08-31,450000,315000,504000,EUR
P08,2026-09-07,450000,337500,517500,EUR
P08,2026-09-14,450000,360000,531000,EUR
P08,2026-09-21,450000,382500,544500,EUR
P09,2026-07-06,475000,142500,475000,EUR
P09,2026-07-13,475000,166250,475000,EUR
P09,2026-07-20,475000,190000,475000,EUR
P09,2026-07-27,475000,213750,475000,EUR
P09,2026-08-03,475000,237500,475000,EUR
P09,2026-08-10,475000,261250,475000,EUR
P09,2026-08-17,475000,285000,475000,EUR
P09,2026-08-24,475000,308750,475000,EUR
P09,2026-08-31,475000,332500,475000,EUR
P09,2026-09-07,475000,356250,475000,EUR
P09,2026-09-14,475000,380000,475000,EUR
P09,2026-09-21,475000,403750,475000,EUR
P10,2026-07-06,500000,150000,500000,EUR
P10,2026-07-13,500000,175000,500000,EUR
P10,2026-07-20,500000,200000,500000,EUR
P10,2026-07-27,500000,225000,500000,EUR
P10,2026-08-03,500000,250000,500000,EUR
P10,2026-08-10,500000,275000,500000,EUR
P10,2026-08-17,500000,300000,500000,EUR
P10,2026-08-24,500000,325000,500000,EUR
P10,2026-08-31,500000,350000,500000,EUR
P10,2026-09-07,500000,375000,500000,EUR
P10,2026-09-14,500000,400000,500000,EUR
P10,2026-09-21,500000,425000,500000,EUR
P11,2026-07-06,525000,157500,525000,EUR
P11,2026-07-13,525000,183750,525000,EUR
P11,2026-07-20,525000,210000,525000,EUR
P11,2026-07-27,525000,236250,525000,EUR
P11,2026-08-03,525000,262500,525000,EUR
P11,2026-08-10,525000,288750,525000,EUR
P11,2026-08-17,525000,315000,525000,EUR
P11,2026-08-24,525000,341250,525000,EUR
P11,2026-08-31,525000,367500,525000,EUR
P11,2026-09-07,525000,393750,525000,EUR
P11,2026-09-14,525000,420000,525000,EUR
P11,2026-09-21,525000,446250,525000,EUR
P12,2026-07-06,550000,165000,550000,EUR
P12,2026-07-13,550000,192500,550000,EUR
P12,2026-07-20,550000,220000,550000,EUR
P12,2026-07-27,550000,247500,550000,EUR
P12,2026-08-03,550000,275000,550000,EUR
P12,2026-08-10,550000,302500,550000,EUR
P12,2026-08-17,550000,330000,550000,EUR
P12,2026-08-24,550000,357500,550000,EUR
P12,2026-08-31,550000,385000,550000,EUR
P12,2026-09-07,550000,412500,550000,EUR
P12,2026-09-14,550000,440000,550000,EUR
P12,2026-09-21,550000,467500,550000,EUR
P13,2026-07-06,575000,172500,575000,EUR
P13,2026-07-13,575000,201250,575000,EUR
P13,2026-07-20,575000,230000,575000,EUR
P13,2026-07-27,575000,258750,575000,EUR
P13,2026-08-03,575000,287500,575000,EUR
P13,2026-08-10,575000,316250,575000,EUR
P13,2026-08-17,575000,345000,575000,EUR
P13,2026-08-24,575000,373750,575000,EUR
P13,2026-08-31,575000,402500,575000,EUR
P13,2026-09-07,575000,431250,575000,EUR
P13,2026-09-14,575000,460000,575000,EUR
P13,2026-09-21,575000,488750,575000,EUR
P14,2026-07-06,600000,180000,654000,EUR
P14,2026-07-13,600000,210000,654000,EUR
P14,2026-07-20,600000,240000,654000,EUR
P14,2026-07-27,600000,270000,654000,EUR
P14,2026-08-03,600000,300000,654000,EUR
P14,2026-08-10,600000,330000,654000,EUR
P14,2026-08-17,600000,360000,654000,EUR
P14,2026-08-24,600000,390000,654000,EUR
P14,2026-08-31,600000,420000,654000,EUR
P14,2026-09-07,600000,450000,654000,EUR
P14,2026-09-14,600000,480000,654000,EUR
P14,2026-09-21,600000,510000,654000,EUR
P15,2026-07-06,625000,187500,625000,EUR
P15,2026-07-13,625000,218750,625000,EUR
P15,2026-07-20,625000,250000,625000,EUR
P15,2026-07-27,625000,281250,625000,EUR
P15,2026-08-03,625000,312500,625000,EUR
P15,2026-08-10,625000,343750,625000,EUR
P15,2026-08-17,625000,375000,625000,EUR
P15,2026-08-24,625000,406250,625000,EUR
P15,2026-08-31,625000,437500,625000,EUR
P15,2026-09-07,625000,468750,625000,EUR
P15,2026-09-14,625000,500000,625000,EUR
P15,2026-09-21,625000,531250,625000,EUR
P16,2026-07-06,650000,195000,650000,EUR
P16,2026-07-13,650000,251062,650000,EUR
P16,2026-07-20,650000,307125,650000,EUR
P16,2026-07-27,650000,363188,650000,EUR
P16,2026-08-03,650000,419250,650000,EUR
P16,2026-08-10,650000,475312,650000,EUR
P16,2026-08-17,650000,531375,650000,EUR
P16,2026-08-24,650000,587438,650000,EUR
P16,2026-08-31,650000,643500,643500,EUR
P16,2026-09-07,650000,643500,643500,EUR
P16,2026-09-14,650000,643500,643500,EUR
P16,2026-09-21,650000,643500,643500,EUR
P17,2026-07-06,675000,202500,675000,EUR
P17,2026-07-13,675000,249075,675000,EUR
P17,2026-07-20,675000,295650,675000,EUR
P17,2026-07-27,675000,342225,675000,EUR
P17,2026-08-03,675000,388800,675000,EUR
P17,2026-08-10,675000,435375,675000,EUR
P17,2026-08-17,675000,481950,675000,EUR
P17,2026-08-24,675000,528525,675000,EUR
P17,2026-08-31,675000,575100,675000,EUR
P17,2026-09-07,675000,621675,675000,EUR
P17,2026-09-14,675000,668250,668250,EUR
P17,2026-09-21,675000,668250,668250,EUR
P18,2026-07-06,700000,210000,700000,EUR
P18,2026-07-13,700000,245000,700000,EUR
P18,2026-07-20,700000,280000,700000,EUR
P18,2026-07-27,700000,315000,700000,EUR
P18,2026-08-03,700000,350000,700000,EUR
P18,2026-08-10,700000,385000,700000,EUR
P18,2026-08-17,700000,420000,700000,EUR
P18,2026-08-24,700000,455000,700000,EUR
P18,2026-08-31,700000,490000,700000,EUR
P18,2026-09-07,700000,525000,700000,EUR
P18,2026-09-14,700000,560000,700000,EUR
P18,2026-09-21,700000,595000,700000,EUR
