issue_id,project_id,reporting_date,title,owner_id,severity,status,opened_date,due_date,resolution_date,required_action
P02-I1,P02,2026-09-21,Acceptance defect,PM02,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P02-I2,P02,2026-09-21,Review backlog,PM02,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-07-06,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-07-06,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-07-13,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-07-13,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-07-20,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-07-20,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-07-27,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-07-27,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-08-03,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-08-03,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-08-10,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-08-10,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-08-17,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-08-17,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-08-24,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-08-24,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-08-31,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-08-31,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-09-07,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-09-07,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-09-14,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-09-14,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P03-I1,P03,2026-09-21,Acceptance defect,PM03,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P03-I2,P03,2026-09-21,Review backlog,PM03,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-07-06,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-07-06,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-07-13,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-07-13,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-07-20,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-07-20,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-07-27,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-07-27,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-08-03,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-08-03,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-08-10,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-08-10,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-08-17,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-08-17,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-08-24,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-08-24,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-08-31,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-08-31,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-09-07,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-09-07,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-09-14,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-09-14,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I1,P04,2026-09-21,Acceptance defect,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P04-I2,P04,2026-09-21,Review backlog,PM04,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-07-06,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-07-06,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-07-13,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-07-13,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-07-20,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-07-20,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-07-27,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-07-27,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-08-03,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-08-03,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-08-10,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-08-10,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-08-17,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-08-17,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-08-24,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-08-24,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-08-31,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-08-31,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-09-07,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-09-07,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-09-14,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-09-14,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I1,P05,2026-09-21,Acceptance defect,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P05-I2,P05,2026-09-21,Review backlog,PM05,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-07-06,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-07-06,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-07-13,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-07-13,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-07-20,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-07-20,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-07-27,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-07-27,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-08-03,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-08-03,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-08-10,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-08-10,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-08-17,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-08-17,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-08-24,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-08-24,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-08-31,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-08-31,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-09-07,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-09-07,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-09-14,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-09-14,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I1,P06,2026-09-21,Acceptance defect,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P06-I2,P06,2026-09-21,Review backlog,PM06,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-07-06,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-07-06,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-07-13,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-07-13,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-07-20,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-07-20,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-07-27,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-07-27,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-08-03,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-08-03,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-08-10,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-08-10,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-08-17,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-08-17,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-08-24,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-08-24,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-08-31,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-08-31,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-09-07,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-09-07,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-09-14,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-09-14,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I1,P07,2026-09-21,Acceptance defect,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P07-I2,P07,2026-09-21,Review backlog,PM07,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-07-06,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-07-06,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-07-13,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-07-13,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-07-20,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-07-20,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-07-27,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-07-27,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-08-03,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-08-03,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-08-10,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-08-10,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-08-17,Acceptance defect,PM08,Moderate,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-08-17,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-08-24,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-08-24,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-08-31,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-08-31,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-09-07,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-09-07,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-09-14,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
P08-I2,P08,2026-09-14,Review backlog,PM08,Moderate,Resolved,2026-06-22,2026-09-14,2026-06-29,Agree corrective action and acceptance evidence
P08-I1,P08,2026-09-21,Acceptance defect,PM08,Critical,Open,2026-06-22,2026-09-14,,Agree corrective action and acceptance evidence
