project_id,reporting_date,lifecycle,phase,forecast_finish,actual_finish,last_reporting_date
P09,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P09,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P09,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P10,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P10,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P10,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P10,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P10,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P10,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P10,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P10,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P10,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
P10,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P10,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P10,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P11,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P11,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P11,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P11,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P11,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P11,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P11,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P11,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P11,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P11,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P11,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P11,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P12,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P12,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P12,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P12,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P12,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P12,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P12,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P12,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P12,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P12,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P12,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P12,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P13,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P13,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P13,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P13,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P13,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P13,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10
P13,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17
P13,2026-08-24,Active,Delivery,2026-10-05,,2026-08-24
P13,2026-08-31,Active,Delivery,2026-10-05,,2026-08-31
P13,2026-09-07,Active,Delivery,2026-10-05,,2026-09-07
P13,2026-09-14,Active,Delivery,2026-10-05,,2026-09-14
P13,2026-09-21,Active,Delivery,2026-10-05,,2026-09-21
P14,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P14,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P14,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P14,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P14,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P14,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P14,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P14,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P14,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P14,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P14,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P14,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P15,2026-07-06,Active,Planning,2026-10-12,,2026-07-06
P15,2026-07-13,Active,Planning,2026-10-12,,2026-07-13
P15,2026-07-20,Active,Planning,2026-10-12,,2026-07-20
P15,2026-07-27,Active,Planning,2026-10-12,,2026-07-27
P15,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03
P15,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10
P15,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17
P15,2026-08-24,Active,Delivery,2026-10-12,,2026-08-24
P15,2026-08-31,Active,Delivery,2026-10-12,,2026-08-31
P15,2026-09-07,Active,Delivery,2026-10-12,,2026-09-07
P15,2026-09-14,Active,Delivery,2026-10-12,,2026-09-14
P15,2026-09-21,Active,Delivery,2026-10-12,,2026-09-21
P16,2026-07-06,Active,Planning,2026-08-31,,2026-07-06
P16,2026-07-13,Active,Planning,2026-08-31,,2026-07-13
P16,2026-07-20,Active,Planning,2026-08-31,,2026-07-20
P16,2026-07-27,Active,Planning,2026-08-31,,2026-07-27
P16,2026-08-03,Active,Delivery,2026-08-31,,2026-08-03
P16,2026-08-10,Active,Delivery,2026-08-31,,2026-08-10
P16,2026-08-17,Active,Delivery,2026-08-31,,2026-08-17
P16,2026-08-24,Active,Delivery,2026-08-31,,2026-08-24
P16,2026-08-31,Completed,Closed,2026-08-31,2026-08-31,2026-08-31
P16,2026-09-07,Completed,Closed,2026-08-31,2026-08-31,2026-09-07
P16,2026-09-14,Completed,Closed,2026-08-31,2026-08-31,2026-09-14
P16,2026-09-21,Completed,Closed,2026-08-31,2026-08-31,2026-09-21
P17,2026-07-06,Active,Planning,2026-09-14,,2026-07-06
P17,2026-07-13,Active,Planning,2026-09-14,,2026-07-13
P17,2026-07-20,Active,Planning,2026-09-14,,2026-07-20
P17,2026-07-27,Active,Planning,2026-09-14,,2026-07-27
P17,2026-08-03,Active,Delivery,2026-09-14,,2026-08-03
P17,2026-08-10,Active,Delivery,2026-09-14,,2026-08-10
P17,2026-08-17,Active,Delivery,2026-09-14,,2026-08-17
P17,2026-08-24,Active,Delivery,2026-09-14,,2026-08-24
P17,2026-08-31,Active,Delivery,2026-09-14,,2026-08-31
P17,2026-09-07,Active,Delivery,2026-09-14,,2026-09-07
P17,2026-09-14,Completed,Closed,2026-09-14,2026-09-14,2026-09-14
P17,2026-09-21,Completed,Closed,2026-09-14,2026-09-14,2026-09-21
P18,2026-07-06,Active,Planning,2026-10-05,,2026-07-06
P18,2026-07-13,Active,Planning,2026-10-05,,2026-07-13
P18,2026-07-20,Active,Planning,2026-10-05,,2026-07-20
P18,2026-07-27,Active,Planning,2026-10-05,,2026-07-27
P18,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03
P18,2026-08-10,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-08-17,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-08-24,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-08-31,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-09-07,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-09-14,On Hold,Delivery,2026-10-05,,2026-08-03
P18,2026-09-21,On Hold,Delivery,2026-10-05,,2026-08-03
