milestone_id,project_id,reporting_date,milestone_name,baseline_date,forecast_date,actual_date,criticality,days_variance,overdue,critical_overdue,due_next_14_days,status
P18-M4,P18,2026-07-06,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P01-M1,P01,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P01-M2,P01,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P01-M3,P01,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P01-M4,P01,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P02-M1,P02,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P02-M2,P02,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P02-M3,P02,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P02-M4,P02,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P03-M1,P03,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P03-M2,P03,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P03-M3,P03,2026-07-13,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P03-M4,P03,2026-07-13,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P04-M1,P04,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P04-M2,P04,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P04-M3,P04,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Critical,7,0,0,0,Forecast late
P04-M4,P04,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P05-M1,P05,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P05-M2,P05,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P05-M3,P05,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P05-M4,P05,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P06-M1,P06,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P06-M2,P06,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P06-M3,P06,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Critical,0,0,0,0,Upcoming
P06-M4,P06,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P07-M1,P07,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P07-M2,P07,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P07-M3,P07,2026-07-13,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P07-M4,P07,2026-07-13,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P08-M1,P08,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P08-M2,P08,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P08-M3,P08,2026-07-13,Readiness gate,2026-09-14,2026-09-14,,Critical,0,0,0,0,Upcoming
P08-M4,P08,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P09-M1,P09,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P09-M2,P09,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P09-M3,P09,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P09-M4,P09,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P10-M1,P10,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P10-M2,P10,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P10-M3,P10,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P10-M4,P10,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P11-M1,P11,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P11-M2,P11,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P11-M3,P11,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P11-M4,P11,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P12-M1,P12,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P12-M2,P12,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P12-M3,P12,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Critical,7,0,0,0,Forecast late
P12-M4,P12,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P13-M1,P13,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P13-M2,P13,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P13-M3,P13,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P13-M4,P13,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P14-M1,P14,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P14-M2,P14,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P14-M3,P14,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P14-M4,P14,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P15-M1,P15,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P15-M2,P15,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P15-M3,P15,2026-07-13,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P15-M4,P15,2026-07-13,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P16-M1,P16,2026-07-13,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P16-M2,P16,2026-07-13,Build acceptance,2026-07-20,2026-07-20,,Normal,0,0,0,1,Upcoming
P16-M3,P16,2026-07-13,Readiness gate,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P16-M4,P16,2026-07-13,Release handover,2026-08-31,2026-08-31,,Critical,0,0,0,0,Upcoming
P17-M1,P17,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P17-M2,P17,2026-07-13,Build acceptance,2026-07-20,2026-07-20,,Normal,0,0,0,1,Upcoming
P17-M3,P17,2026-07-13,Readiness gate,2026-08-10,2026-08-17,,Normal,7,0,0,0,Forecast late
P17-M4,P17,2026-07-13,Release handover,2026-09-07,2026-09-14,,Critical,7,0,0,0,Forecast late
P18-M1,P18,2026-07-13,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P18-M2,P18,2026-07-13,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P18-M3,P18,2026-07-13,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P18-M4,P18,2026-07-13,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P01-M1,P01,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P01-M2,P01,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P01-M3,P01,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P01-M4,P01,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P02-M1,P02,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P02-M2,P02,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P02-M3,P02,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P02-M4,P02,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P03-M1,P03,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P03-M2,P03,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P03-M3,P03,2026-07-20,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P03-M4,P03,2026-07-20,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P04-M1,P04,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P04-M2,P04,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P04-M3,P04,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Critical,7,0,0,0,Forecast late
P04-M4,P04,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P05-M1,P05,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P05-M2,P05,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P05-M3,P05,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P05-M4,P05,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P06-M1,P06,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P06-M2,P06,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P06-M3,P06,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Critical,0,0,0,0,Upcoming
P06-M4,P06,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P07-M1,P07,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P07-M2,P07,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P07-M3,P07,2026-07-20,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P07-M4,P07,2026-07-20,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P08-M1,P08,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P08-M2,P08,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P08-M3,P08,2026-07-20,Readiness gate,2026-09-14,2026-09-14,,Critical,0,0,0,0,Upcoming
P08-M4,P08,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P09-M1,P09,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P09-M2,P09,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P09-M3,P09,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P09-M4,P09,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P10-M1,P10,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P10-M2,P10,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P10-M3,P10,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P10-M4,P10,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P11-M1,P11,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P11-M2,P11,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P11-M3,P11,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P11-M4,P11,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P12-M1,P12,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P12-M2,P12,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P12-M3,P12,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Critical,7,0,0,0,Forecast late
P12-M4,P12,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P13-M1,P13,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P13-M2,P13,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P13-M3,P13,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P13-M4,P13,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P14-M1,P14,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P14-M2,P14,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P14-M3,P14,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P14-M4,P14,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P15-M1,P15,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P15-M2,P15,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P15-M3,P15,2026-07-20,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P15-M4,P15,2026-07-20,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P16-M1,P16,2026-07-20,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P16-M2,P16,2026-07-20,Build acceptance,2026-07-20,2026-07-20,2026-07-20,Normal,0,0,0,0,Completed on time
P16-M3,P16,2026-07-20,Readiness gate,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P16-M4,P16,2026-07-20,Release handover,2026-08-31,2026-08-31,,Critical,0,0,0,0,Upcoming
P17-M1,P17,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P17-M2,P17,2026-07-20,Build acceptance,2026-07-20,2026-07-20,2026-07-20,Normal,0,0,0,0,Completed on time
P17-M3,P17,2026-07-20,Readiness gate,2026-08-10,2026-08-17,,Normal,7,0,0,0,Forecast late
P17-M4,P17,2026-07-20,Release handover,2026-09-07,2026-09-14,,Critical,7,0,0,0,Forecast late
P18-M1,P18,2026-07-20,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P18-M2,P18,2026-07-20,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,0,Upcoming
P18-M3,P18,2026-07-20,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P18-M4,P18,2026-07-20,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P01-M1,P01,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P01-M2,P01,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P01-M3,P01,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P01-M4,P01,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P02-M1,P02,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P02-M2,P02,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P02-M3,P02,2026-07-27,Readiness gate,2026-09-14,2026-09-21,,Normal,7,0,0,0,Forecast late
P02-M4,P02,2026-07-27,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P03-M1,P03,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P03-M2,P03,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P03-M3,P03,2026-07-27,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P03-M4,P03,2026-07-27,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P04-M1,P04,2026-07-27,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
P04-M2,P04,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P04-M3,P04,2026-07-27,Readiness gate,2026-09-14,2026-09-21,,Critical,7,0,0,0,Forecast late
P04-M4,P04,2026-07-27,Release handover,2026-10-05,2026-10-12,,Critical,7,0,0,0,Forecast late
P05-M1,P05,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P05-M2,P05,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P05-M3,P05,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Normal,0,0,0,0,Upcoming
P05-M4,P05,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P06-M1,P06,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P06-M2,P06,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P06-M3,P06,2026-07-27,Readiness gate,2026-09-28,2026-09-28,,Critical,0,0,0,0,Upcoming
P06-M4,P06,2026-07-27,Release handover,2026-10-05,2026-10-05,,Critical,0,0,0,0,Upcoming
P07-M1,P07,2026-07-27,Design approval,2026-06-29,2026-06-29,2026-06-29,Normal,0,0,0,0,Completed on time
P07-M2,P07,2026-07-27,Build acceptance,2026-08-10,2026-08-10,,Normal,0,0,0,1,Upcoming
P07-M3,P07,2026-07-27,Readiness gate,2026-09-14,2026-10-05,,Critical,21,0,0,0,Forecast late
P07-M4,P07,2026-07-27,Release handover,2026-10-05,2026-10-26,,Critical,21,0,0,0,Forecast late
P08-M1,P08,2026-07-27,Design approval,2026-06-29,2026-07-02,2026-07-02,Normal,3,0,0,0,Completed late
