cost_id,project_id,transaction_date,category,amount
P10-C04,P10,2026-07-27,Synthetic delivery cost,25000
P10-C05,P10,2026-08-03,Synthetic delivery cost,25000
P10-C06,P10,2026-08-10,Synthetic delivery cost,25000
P10-C07,P10,2026-08-17,Synthetic delivery cost,25000
P10-C08,P10,2026-08-24,Synthetic delivery cost,25000
P10-C09,P10,2026-08-31,Synthetic delivery cost,25000
P10-C10,P10,2026-09-07,Synthetic delivery cost,25000
P10-C11,P10,2026-09-14,Synthetic delivery cost,25000
P10-C12,P10,2026-09-21,Synthetic delivery cost,25000
P11-C01,P11,2026-07-06,Synthetic delivery cost,157500
P11-C02,P11,2026-07-13,Synthetic delivery cost,26250
P11-C03,P11,2026-07-20,Synthetic delivery cost,26250
P11-C04,P11,2026-07-27,Synthetic delivery cost,26250
P11-C05,P11,2026-08-03,Synthetic delivery cost,26250
P11-C06,P11,2026-08-10,Synthetic delivery cost,26250
P11-C07,P11,2026-08-17,Synthetic delivery cost,26250
P11-C08,P11,2026-08-24,Synthetic delivery cost,26250
P11-C09,P11,2026-08-31,Synthetic delivery cost,26250
P11-C10,P11,2026-09-07,Synthetic delivery cost,26250
P11-C11,P11,2026-09-14,Synthetic delivery cost,26250
P11-C12,P11,2026-09-21,Synthetic delivery cost,26250
P12-C01,P12,2026-07-06,Synthetic delivery cost,165000
P12-C02,P12,2026-07-13,Synthetic delivery cost,27500
P12-C03,P12,2026-07-20,Synthetic delivery cost,27500
P12-C04,P12,2026-07-27,Synthetic delivery cost,27500
P12-C05,P12,2026-08-03,Synthetic delivery cost,27500
P12-C06,P12,2026-08-10,Synthetic delivery cost,27500
P12-C07,P12,2026-08-17,Synthetic delivery cost,27500
P12-C08,P12,2026-08-24,Synthetic delivery cost,27500
P12-C09,P12,2026-08-31,Synthetic delivery cost,27500
P12-C10,P12,2026-09-07,Synthetic delivery cost,27500
P12-C11,P12,2026-09-14,Synthetic delivery cost,27500
P12-C12,P12,2026-09-21,Synthetic delivery cost,27500
P13-C01,P13,2026-07-06,Synthetic delivery cost,172500
P13-C02,P13,2026-07-13,Synthetic delivery cost,28750
P13-C03,P13,2026-07-20,Synthetic delivery cost,28750
P13-C04,P13,2026-07-27,Synthetic delivery cost,28750
P13-C05,P13,2026-08-03,Synthetic delivery cost,28750
P13-C06,P13,2026-08-10,Synthetic delivery cost,28750
P13-C07,P13,2026-08-17,Synthetic delivery cost,28750
P13-C08,P13,2026-08-24,Synthetic delivery cost,28750
P13-C09,P13,2026-08-31,Synthetic delivery cost,28750
P13-C10,P13,2026-09-07,Synthetic delivery cost,28750
P13-C11,P13,2026-09-14,Synthetic delivery cost,28750
P13-C12,P13,2026-09-21,Synthetic delivery cost,28750
P14-C01,P14,2026-07-06,Synthetic delivery cost,188100
P14-C02,P14,2026-07-13,Synthetic delivery cost,31350
P14-C03,P14,2026-07-20,Synthetic delivery cost,31350
P14-C04,P14,2026-07-27,Synthetic delivery cost,31350
P14-C05,P14,2026-08-03,Synthetic delivery cost,31350
P14-C06,P14,2026-08-10,Synthetic delivery cost,31350
P14-C07,P14,2026-08-17,Synthetic delivery cost,31350
P14-C08,P14,2026-08-24,Synthetic delivery cost,31350
P14-C09,P14,2026-08-31,Synthetic delivery cost,31350
P14-C10,P14,2026-09-07,Synthetic delivery cost,31350
P14-C11,P14,2026-09-14,Synthetic delivery cost,31350
P14-C12,P14,2026-09-21,Synthetic delivery cost,31350
P15-C01,P15,2026-07-06,Synthetic delivery cost,187500
P15-C02,P15,2026-07-13,Synthetic delivery cost,31250
P15-C03,P15,2026-07-20,Synthetic delivery cost,31250
P15-C04,P15,2026-07-27,Synthetic delivery cost,31250
P15-C05,P15,2026-08-03,Synthetic delivery cost,31250
P15-C06,P15,2026-08-10,Synthetic delivery cost,31250
P15-C07,P15,2026-08-17,Synthetic delivery cost,31250
P15-C08,P15,2026-08-24,Synthetic delivery cost,31250
P15-C09,P15,2026-08-31,Synthetic delivery cost,31250
P15-C10,P15,2026-09-07,Synthetic delivery cost,31250
P15-C11,P15,2026-09-14,Synthetic delivery cost,31250
P15-C12,P15,2026-09-21,Synthetic delivery cost,31250
P16-C01,P16,2026-07-06,Synthetic delivery cost,195000
P16-C02,P16,2026-07-13,Synthetic delivery cost,56062
P16-C03,P16,2026-07-20,Synthetic delivery cost,56063
P16-C04,P16,2026-07-27,Synthetic delivery cost,56063
P16-C05,P16,2026-08-03,Synthetic delivery cost,56062
P16-C06,P16,2026-08-10,Synthetic delivery cost,56062
P16-C07,P16,2026-08-17,Synthetic delivery cost,56063
P16-C08,P16,2026-08-24,Synthetic delivery cost,56063
P16-C09,P16,2026-08-31,Synthetic delivery cost,56062
P16-C10,P16,2026-09-07,Synthetic delivery cost,0
P16-C11,P16,2026-09-14,Synthetic delivery cost,0
P16-C12,P16,2026-09-21,Synthetic delivery cost,0
P17-C01,P17,2026-07-06,Synthetic delivery cost,202500
P17-C02,P17,2026-07-13,Synthetic delivery cost,46575
P17-C03,P17,2026-07-20,Synthetic delivery cost,46575
P17-C04,P17,2026-07-27,Synthetic delivery cost,46575
P17-C05,P17,2026-08-03,Synthetic delivery cost,46575
P17-C06,P17,2026-08-10,Synthetic delivery cost,46575
P17-C07,P17,2026-08-17,Synthetic delivery cost,46575
P17-C08,P17,2026-08-24,Synthetic delivery cost,46575
P17-C09,P17,2026-08-31,Synthetic delivery cost,46575
P17-C10,P17,2026-09-07,Synthetic delivery cost,46575
P17-C11,P17,2026-09-14,Synthetic delivery cost,46575
P17-C12,P17,2026-09-21,Synthetic delivery cost,0
P18-C01,P18,2026-07-06,Synthetic delivery cost,210000
P18-C02,P18,2026-07-13,Synthetic delivery cost,35000
P18-C03,P18,2026-07-20,Synthetic delivery cost,35000
P18-C04,P18,2026-07-27,Synthetic delivery cost,35000
P18-C05,P18,2026-08-03,Synthetic delivery cost,35000
P18-C06,P18,2026-08-10,Synthetic delivery cost,0
P18-C07,P18,2026-08-17,Synthetic delivery cost,0
P18-C08,P18,2026-08-24,Synthetic delivery cost,0
P18-C09,P18,2026-08-31,Synthetic delivery cost,0
P18-C10,P18,2026-09-07,Synthetic delivery cost,0
P18-C11,P18,2026-09-14,Synthetic delivery cost,0
P18-C12,P18,2026-09-21,Synthetic delivery cost,0
