project_id,reporting_date,lifecycle,phase,forecast_finish,actual_finish,last_reporting_date,approved_budget,planned_cost,forecast_cost,actual_cost,budget_remaining,actual_vs_planned,actual_vs_planned_pct,forecast_variance,forecast_variance_pct,schedule_variance_days,percentage_complete,overall_rag,open_risks,critical_risks,risk_exposure,open_issues,critical_issues,overdue_actions,overdue_tasks,overdue_milestones,critical_milestones_overdue,milestones_due,dependency_exposure,schedule_rag,cost_rag,risk_rag,issues_rag,milestones_rag,dependencies_rag,actions_rag,reporting_rag
P03,2026-07-13,Active,Planning,2026-10-26,,2026-07-13,325000,113750,357500,119438,205562,5688,5.0,32500,10.0,21,0.0,Red,3,1,28,1,0,0,3,0,0,0,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,350000,122500,350000,122500,227500,0,0.0,0,0.0,7,16.67,Red,3,0,12,0,0,0,1,0,0,0,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,375000,131250,468750,147656,227344,16406,12.5,93750,25.0,0,25.0,Red,3,0,12,0,0,0,0,0,0,0,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,400000,140000,400000,140000,260000,0,0.0,0,0.0,0,25.0,Red,3,1,28,0,0,0,0,0,0,0,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-07-13,Active,Planning,2026-10-26,,2026-07-13,425000,148750,510000,163625,261375,14875,10.0,85000,20.0,21,0.0,Red,3,1,28,0,0,0,3,0,0,0,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,450000,157500,450000,157500,292500,0,0.0,0,0.0,0,25.0,Amber,3,0,12,1,0,0,0,0,0,0,0,Green,Green,Green,Amber,Green,Green,Green,Green
P09,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,475000,166250,475000,166250,308750,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,500000,175000,500000,175000,325000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,525000,183750,525000,183750,341250,0,0.0,0,0.0,7,16.67,Amber,3,0,23,0,0,0,1,0,0,0,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,550000,192500,550000,192500,357500,0,0.0,0,0.0,7,16.67,Red,3,0,12,1,1,0,1,0,0,0,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,575000,201250,575000,201250,373750,0,0.0,0,0.0,0,25.0,Amber,3,0,12,0,0,0,0,0,0,0,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,600000,210000,654000,219450,380550,9450,4.5,54000,9.0,7,16.67,Amber,3,0,12,0,0,0,1,0,0,0,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-07-13,Active,Planning,2026-10-12,,2026-07-13,625000,218750,625000,218750,406250,0,0.0,0,0.0,7,16.67,Amber,3,0,12,0,0,0,1,0,0,0,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-07-13,Active,Planning,2026-08-31,,2026-07-13,650000,251062,650000,251062,398938,0,0.0,0,0.0,0,41.67,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-07-13,Active,Planning,2026-09-14,,2026-07-13,675000,249075,675000,249075,425925,0,0.0,0,0.0,7,33.33,Amber,3,0,12,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-07-13,Active,Planning,2026-10-05,,2026-07-13,700000,245000,700000,245000,455000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,275000,110000,275000,110000,165000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,300000,120000,321000,124200,175800,4200,3.5,21000,7.0,7,25.0,Amber,3,0,12,1,0,0,0,0,0,0,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-07-20,Active,Planning,2026-10-26,,2026-07-20,325000,130000,357500,136500,188500,6500,5.0,32500,10.0,21,8.33,Red,3,1,28,1,0,0,2,0,0,0,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,350000,140000,350000,140000,210000,0,0.0,0,0.0,7,25.0,Red,3,0,12,0,0,0,0,0,0,0,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,375000,150000,468750,168750,206250,18750,12.5,93750,25.0,0,25.0,Red,3,0,12,0,0,0,0,0,0,0,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,400000,160000,400000,160000,240000,0,0.0,0,0.0,0,25.0,Red,3,1,28,0,0,0,0,0,0,0,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-07-20,Active,Planning,2026-10-26,,2026-07-20,425000,170000,510000,187000,238000,17000,10.0,85000,20.0,21,8.33,Red,3,1,28,0,0,0,2,0,0,0,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,450000,180000,450000,180000,270000,0,0.0,0,0.0,0,25.0,Amber,3,0,12,1,0,0,0,0,0,0,0,Green,Green,Green,Amber,Green,Green,Green,Green
P09,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,475000,190000,475000,190000,285000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,500000,200000,500000,200000,300000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,525000,210000,525000,210000,315000,0,0.0,0,0.0,7,25.0,Amber,3,0,23,0,0,0,0,0,0,0,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,550000,220000,550000,220000,330000,0,0.0,0,0.0,7,25.0,Red,3,0,12,1,1,0,0,0,0,0,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,575000,230000,575000,230000,345000,0,0.0,0,0.0,0,25.0,Amber,3,0,12,0,0,0,0,0,0,0,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,600000,240000,654000,250800,349200,10800,4.5,54000,9.0,7,25.0,Amber,3,0,12,0,0,0,0,0,0,0,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-07-20,Active,Planning,2026-10-12,,2026-07-20,625000,250000,625000,250000,375000,0,0.0,0,0.0,7,25.0,Amber,3,0,12,0,0,0,0,0,0,0,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-07-20,Active,Planning,2026-08-31,,2026-07-20,650000,307125,650000,307125,342875,0,0.0,0,0.0,0,50.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-07-20,Active,Planning,2026-09-14,,2026-07-20,675000,295650,675000,295650,379350,0,0.0,0,0.0,7,41.67,Amber,3,0,12,0,0,0,1,0,0,0,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-07-20,Active,Planning,2026-10-05,,2026-07-20,700000,280000,700000,280000,420000,0,0.0,0,0.0,0,25.0,Green,3,0,12,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,275000,123750,275000,123750,151250,0,0.0,0,0.0,0,33.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,300000,135000,321000,139725,160275,4725,3.5,21000,7.0,7,25.0,Amber,3,0,12,1,0,0,1,0,0,1,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-07-27,Active,Planning,2026-10-26,,2026-07-27,325000,146250,357500,153562,171438,7312,5.0,32500,10.0,21,16.67,Red,3,1,28,1,0,0,2,0,0,1,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,350000,157500,350000,157500,192500,0,0.0,0,0.0,7,25.0,Red,3,0,12,0,0,0,1,0,0,1,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,375000,168750,468750,189844,185156,21094,12.5,93750,25.0,0,33.33,Red,3,0,12,0,0,0,0,0,0,1,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,400000,180000,400000,180000,220000,0,0.0,0,0.0,0,33.33,Red,3,1,28,0,0,0,0,0,0,1,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-07-27,Active,Planning,2026-10-26,,2026-07-27,425000,191250,510000,210375,214625,19125,10.0,85000,20.0,21,16.67,Red,3,1,28,0,0,0,2,0,0,1,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,450000,202500,450000,202500,247500,0,0.0,0,0.0,0,33.33,Amber,3,0,12,1,0,0,0,0,0,1,0,Green,Green,Green,Amber,Green,Green,Green,Green
P09,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,475000,213750,475000,213750,261250,0,0.0,0,0.0,0,33.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,500000,225000,500000,225000,275000,0,0.0,0,0.0,0,33.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,525000,236250,525000,236250,288750,0,0.0,0,0.0,7,25.0,Amber,3,0,23,0,0,0,1,0,0,1,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,550000,247500,550000,247500,302500,0,0.0,0,0.0,7,25.0,Red,3,0,12,1,1,0,1,0,0,1,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,575000,258750,575000,258750,316250,0,0.0,0,0.0,0,33.33,Amber,3,0,12,0,0,0,0,0,0,1,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,600000,270000,654000,282150,317850,12150,4.5,54000,9.0,7,25.0,Amber,3,0,12,0,0,0,1,0,0,1,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-07-27,Active,Planning,2026-10-12,,2026-07-27,625000,281250,625000,281250,343750,0,0.0,0,0.0,7,25.0,Amber,3,0,12,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-07-27,Active,Planning,2026-08-31,,2026-07-27,650000,363188,650000,363188,286812,0,0.0,0,0.0,0,58.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-07-27,Active,Planning,2026-09-14,,2026-07-27,675000,342225,675000,342225,332775,0,0.0,0,0.0,7,50.0,Amber,3,0,12,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-07-27,Active,Planning,2026-10-05,,2026-07-27,700000,315000,700000,315000,385000,0,0.0,0,0.0,0,33.33,Green,3,0,12,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,275000,137500,275000,137500,137500,0,0.0,0,0.0,0,41.67,Green,2,0,8,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,300000,150000,321000,155250,144750,5250,3.5,21000,7.0,7,33.33,Amber,2,0,8,1,0,0,1,0,0,1,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-08-03,Active,Delivery,2026-10-26,,2026-08-03,325000,162500,357500,170625,154375,8125,5.0,32500,10.0,21,25.0,Red,2,1,24,1,0,0,2,0,0,1,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,350000,175000,350000,175000,175000,0,0.0,0,0.0,7,33.33,Red,2,0,8,0,0,0,1,0,0,1,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,375000,187500,468750,210938,164062,23438,12.5,93750,25.0,0,41.67,Red,2,0,8,0,0,0,0,0,0,1,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,400000,200000,400000,200000,200000,0,0.0,0,0.0,0,41.67,Red,2,1,24,0,0,0,0,0,0,1,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-08-03,Active,Delivery,2026-10-26,,2026-08-03,425000,212500,510000,233750,191250,21250,10.0,85000,20.0,21,25.0,Red,2,1,24,0,0,0,2,0,0,1,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,450000,225000,450000,225000,225000,0,0.0,0,0.0,0,41.67,Amber,2,0,8,1,0,0,0,0,0,1,0,Green,Green,Green,Amber,Green,Green,Green,Green
P09,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,475000,237500,475000,237500,237500,0,0.0,0,0.0,0,41.67,Green,2,0,8,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,500000,250000,500000,250000,250000,0,0.0,0,0.0,0,41.67,Green,2,0,8,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,525000,262500,525000,262500,262500,0,0.0,0,0.0,7,33.33,Amber,2,0,19,0,0,0,1,0,0,1,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,550000,275000,550000,275000,275000,0,0.0,0,0.0,7,33.33,Red,2,0,8,1,1,0,1,0,0,1,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,575000,287500,575000,287500,287500,0,0.0,0,0.0,0,41.67,Amber,2,0,8,0,0,0,0,0,0,1,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,600000,300000,654000,313500,286500,13500,4.5,54000,9.0,7,33.33,Amber,2,0,8,0,0,0,1,0,0,1,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-08-03,Active,Delivery,2026-10-12,,2026-08-03,625000,312500,625000,312500,312500,0,0.0,0,0.0,7,33.33,Amber,2,0,8,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-08-03,Active,Delivery,2026-08-31,,2026-08-03,650000,419250,650000,419250,230750,0,0.0,0,0.0,0,75.0,Green,2,0,8,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-08-03,Active,Delivery,2026-09-14,,2026-08-03,675000,388800,675000,388800,286200,0,0.0,0,0.0,7,58.33,Amber,2,0,8,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-08-03,Active,Delivery,2026-10-05,,2026-08-03,700000,350000,700000,350000,350000,0,0.0,0,0.0,0,41.67,Green,2,0,8,0,0,0,0,0,0,1,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,275000,151250,275000,151250,123750,0,0.0,0,0.0,0,50.0,Green,2,0,8,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,300000,165000,321000,170775,129225,5775,3.5,21000,7.0,7,41.67,Amber,2,0,8,1,0,0,1,0,0,0,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-08-10,Active,Delivery,2026-10-26,,2026-08-10,325000,178750,357500,187688,137312,8938,5.0,32500,10.0,21,25.0,Red,2,1,24,1,0,0,3,0,0,0,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,350000,192500,350000,192500,157500,0,0.0,0,0.0,7,41.67,Red,2,0,8,0,0,0,1,0,0,0,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,375000,206250,468750,232031,142969,25781,12.5,93750,25.0,0,50.0,Red,2,0,8,0,0,0,0,0,0,0,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,400000,220000,400000,220000,180000,0,0.0,0,0.0,0,50.0,Red,2,1,24,0,0,0,0,0,0,0,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-08-10,Active,Delivery,2026-10-26,,2026-08-10,425000,233750,510000,257125,167875,23375,10.0,85000,20.0,21,25.0,Red,2,1,24,0,0,0,3,0,0,0,0,Red,Red,Red,Green,Amber,Green,Green,Green
P08,2026-08-10,Active,Delivery,2026-10-08,,2026-08-10,450000,247500,463500,251212,198788,3712,1.5,13500,3.0,3,41.67,Red,2,1,24,1,0,0,1,0,0,0,0,Green,Green,Red,Amber,Green,Green,Green,Green
P09,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,475000,261250,475000,261250,213750,0,0.0,0,0.0,0,50.0,Green,2,0,8,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P10,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,500000,275000,500000,275000,225000,0,0.0,0,0.0,0,50.0,Green,2,0,8,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P11,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,525000,288750,525000,288750,236250,0,0.0,0,0.0,7,41.67,Amber,2,0,19,0,0,0,1,0,0,0,0,Amber,Green,Amber,Green,Amber,Green,Green,Green
P12,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,550000,302500,550000,302500,247500,0,0.0,0,0.0,7,41.67,Red,2,0,8,1,1,0,1,0,0,0,0,Amber,Green,Green,Red,Amber,Green,Green,Green
P13,2026-08-10,Active,Delivery,2026-10-05,,2026-08-10,575000,316250,575000,316250,258750,0,0.0,0,0.0,0,50.0,Amber,2,0,8,0,0,0,0,0,0,0,1,Green,Green,Green,Green,Green,Amber,Green,Green
P14,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,600000,330000,654000,344850,255150,14850,4.5,54000,9.0,7,41.67,Amber,2,0,8,0,0,0,1,0,0,0,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
P15,2026-08-10,Active,Delivery,2026-10-12,,2026-08-10,625000,343750,625000,343750,281250,0,0.0,0,0.0,7,41.67,Amber,2,0,8,0,0,0,1,0,0,0,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P16,2026-08-10,Active,Delivery,2026-08-31,,2026-08-10,650000,475312,650000,475312,174688,0,0.0,0,0.0,0,83.33,Green,2,0,8,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P17,2026-08-10,Active,Delivery,2026-09-14,,2026-08-10,675000,435375,675000,435375,239625,0,0.0,0,0.0,7,75.0,Amber,2,0,8,0,0,0,1,0,0,1,0,Amber,Green,Green,Green,Amber,Green,Green,Green
P18,2026-08-10,On Hold,Delivery,2026-10-05,,2026-08-03,700000,385000,700000,350000,350000,-35000,-9.09,0,0.0,0,41.67,Green,2,0,8,0,0,0,1,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P01,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17,275000,165000,275000,165000,110000,0,0.0,0,0.0,0,58.33,Green,2,0,8,0,0,0,0,0,0,0,0,Green,Green,Green,Green,Green,Green,Green,Green
P02,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17,300000,180000,321000,186300,113700,6300,3.5,21000,7.0,7,50.0,Amber,2,0,8,1,0,0,0,0,0,0,0,Amber,Amber,Green,Amber,Amber,Green,Green,Green
P03,2026-08-17,Active,Delivery,2026-10-26,,2026-08-17,325000,195000,357500,204750,120250,9750,5.0,32500,10.0,21,33.33,Red,2,1,24,1,0,0,2,0,0,0,0,Red,Amber,Red,Amber,Amber,Green,Green,Green
P04,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17,350000,210000,350000,210000,140000,0,0.0,0,0.0,7,50.0,Red,2,0,8,0,0,0,0,0,0,0,1,Amber,Green,Green,Green,Amber,Red,Green,Green
P05,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17,375000,225000,468750,253125,121875,28125,12.5,93750,25.0,0,58.33,Red,2,0,8,0,0,0,0,0,0,0,0,Green,Red,Green,Green,Green,Green,Green,Green
P06,2026-08-17,Active,Delivery,2026-10-05,,2026-08-17,400000,240000,400000,240000,160000,0,0.0,0,0.0,0,58.33,Red,2,1,24,0,0,0,0,0,0,0,0,Green,Green,Red,Green,Green,Green,Green,Green
P07,2026-08-17,Active,Delivery,2026-10-12,,2026-08-17,425000,255000,467500,267750,157250,12750,5.0,42500,10.0,7,50.0,Amber,2,0,10,0,0,0,0,0,0,0,0,Amber,Amber,Green,Green,Amber,Green,Green,Green
